filename	totalReads	totalBCG1
NBBT10.trim	406650	409411
NBBT11.trim	342967	345206
NBBT12.trim	243337	244877
NBBT13.trim	359254	361263
NBBT14.trim	238448	239914
NBBT15.trim	113034	113945
NBBT16.trim	468615	471523
NBBT17.trim	472883	475981
NBBT1.trim	233151	234651
NBBT2.trim	322380	324668
NBBT3.trim	221532	222792
NBBT4.trim	401994	404358
NBBT5.trim	379980	382505
NBBT6.trim	254068	255662
NBBT7.trim	333977	335963
NBBT9.trim	302440	304207
NBGV10.trim	1083480	1089737
NBGV11.trim	894607	900574
NBGV1.trim	581874	585652
NBGV2.trim	529104	532570
NBGV3.trim	478786	481893
NBGV4.trim	93213	93685
NBGV5.trim	626509	630096
NBGV7.trim	1270845	1279249
NBGV8.trim	496615	499808
NBGV9.trim	780929	785688
NBSB1rep.trim	404747	406956
NBSB1.trim	156048	156730
NBSB2rep.trim	978814	984691
NBSB2.trim	84913	85350
NBSB3.trim	775722	780905
NBSB4rep.trim	549585	552827
NBSB4.trim	163175	163962
NBSB5.trim	342479	344204
NBSB6rep.trim	765738	770695
NBSB6.trim	205268	206520
NBSB7.trim	936947	942919
NBSB8.trim	543601	546600
NBSB9.trim	840174	845584
NBST10.trim	330861	332954
NBST11.trim	165998	166834
NBST12.trim	286917	288573
NBST13.trim	436453	438815
NBST1.trim	612236	616559
NBST2.trim	611917	615528
NBST3.trim	532439	535350
NBST4.trim	251031	252398
NBST5.trim	84913	85350
NBST6.trim	492316	495337
NBST7.trim	363595	365874
NBST8rep.trim	467699	470559
NBST8.trim	137585	138273
NBST9rep.trim	1348965	1357768
NBST9.trim	148660	149421
PHBT10.trim	1869931	1882580
PHBT12.trim	1630630	1642396
PHBT2.trim	927199	933340
PHBT3.trim	91716	92318
PHBT4.trim	907054	913185
PHBT5.trim	792654	797983
PHBT7.trim	1597878	1608349
PHBT9.trim	1299831	1308786
PHGV11.trim	1448359	1457813
PHGV12.trim	991214	998344
PHGV13.trim	1254415	1262302
PHGV14.trim	1214020	1222304
PHGV1.trim	1797144	1809086
PHGV2.trim	1034456	1041001
PHGV3.trim	1615899	1627167
PHGV4.trim	1482862	1492951
PHGV5.trim	1162728	1170028
PHGV6.trim	1050747	1057833
PHGV7.trim	612209	617020
PHGV8.trim	95704	96406
PHGV9.trim	1299119	1307746
PHSB1.trim	1611721	1622975
PHSB2.trim	2075462	2090756
PHSB3.trim	986475	992752
PHSB4.trim	1075252	1082401
PHSB5.trim	1402410	1412298
PHSB7.trim	571637	575455
PHSB9.trim	1400366	1410627
PHST10.trim	1001926	1009086
PHST1.trim	2040530	2055513
PHST2.trim	914353	919792
PHST3.trim	928662	934206
PHST5.trim	1710683	1723243
PHST7.trim	947061	953287
