chr	pair	shared	weighted
chr1	BT.GV	shared	0.2566492507497783
chr1	BT.SB	unshared	0.2710624027018721
chr1	BT.ST	unshared	0.29166395230815606
chr1	GV.SB	unshared	0.30759719144680375
chr1	GV.ST	unshared	0.3120602102264605
chr1	SB.ST	shared	0.285368686406543
chr10	BT.GV	shared	0.28405131145464885
chr10	BT.SB	unshared	0.3022305606819661
chr10	BT.ST	unshared	0.32526668802005854
chr10	GV.SB	unshared	0.33976592299184344
chr10	GV.ST	unshared	0.3397660798552566
chr10	SB.ST	shared	0.3223562613379002
chr11	BT.GV	shared	0.2830595272885211
chr11	BT.SB	unshared	0.31088434322658953
chr11	BT.ST	unshared	0.336613379129644
chr11	GV.SB	unshared	0.32675486179220564
chr11	GV.ST	unshared	0.3459038862474248
chr11	SB.ST	shared	0.33088696828483605
chr12	BT.GV	shared	0.2806453073520284
chr12	BT.SB	unshared	0.31123720290403906
chr12	BT.ST	unshared	0.3364817366190552
chr12	GV.SB	unshared	0.3282932814711149
chr12	GV.ST	unshared	0.34456353309888765
chr12	SB.ST	shared	0.33049628450880336
chr13	BT.GV	shared	0.2851626209942727
chr13	BT.SB	unshared	0.315891559578647
chr13	BT.ST	unshared	0.33284553339162715
chr13	GV.SB	unshared	0.3340577903305759
chr13	GV.ST	unshared	0.3400040871894714
chr13	SB.ST	shared	0.33511224796866146
chr14	BT.GV	shared	0.29107051599687217
chr14	BT.SB	unshared	0.32099600963389086
chr14	BT.ST	unshared	0.3393475598708306
chr14	GV.SB	unshared	0.3406133830098593
chr14	GV.ST	unshared	0.3524773523809236
chr14	SB.ST	shared	0.33594354946593863
chr15	BT.GV	shared	0.2994888674139566
chr15	BT.SB	unshared	0.3181945526140307
chr15	BT.ST	unshared	0.3375062518670332
chr15	GV.SB	unshared	0.3418419172434205
chr15	GV.ST	unshared	0.35705699083038056
chr15	SB.ST	shared	0.3379117345250134
chr16	BT.GV	shared	0.299915623252784
chr16	BT.SB	unshared	0.3208771930537209
chr16	BT.ST	unshared	0.33910180140235496
chr16	GV.SB	unshared	0.3466724729865661
chr16	GV.ST	unshared	0.3584890737347451
chr16	SB.ST	shared	0.3354707797144491
chr17	BT.GV	shared	0.30242183571218345
chr17	BT.SB	unshared	0.32348209417300733
chr17	BT.ST	unshared	0.3396458558175263
chr17	GV.SB	unshared	0.35277771225403304
chr17	GV.ST	unshared	0.36291071772328043
chr17	SB.ST	shared	0.33834140435460713
chr18	BT.GV	shared	0.30218926831151477
chr18	BT.SB	unshared	0.32283989919902856
chr18	BT.ST	unshared	0.3476194232282808
chr18	GV.SB	unshared	0.35626249294079193
chr18	GV.ST	unshared	0.3693916332382178
chr18	SB.ST	shared	0.339275421781253
chr19	BT.GV	shared	0.3037505641109539
chr19	BT.SB	unshared	0.3218884414819119
chr19	BT.ST	unshared	0.34221385540977556
chr19	GV.SB	unshared	0.3596291604443436
chr19	GV.ST	unshared	0.37003477845304905
chr19	SB.ST	shared	0.3436556260220386
chr2	BT.GV	shared	0.3041399920982775
chr2	BT.SB	unshared	0.3017033007468331
chr2	BT.ST	unshared	0.31956880124341247
chr2	GV.SB	unshared	0.36033071095783686
chr2	GV.ST	unshared	0.35661117165097367
