chr	pair	shared	weighted
chr1	BT.GV	shared	0.4133126011778101
chr1	BT.SB	unshared	0.44086484738233844
chr1	BT.ST	unshared	0.4536787932492387
chr1	GV.SB	unshared	0.548681927968199
chr1	GV.ST	unshared	0.5434530999904741
chr1	SB.ST	shared	0.31665684579921477
chr10	BT.GV	shared	0.410139188235628
chr10	BT.SB	unshared	0.43192165834829765
chr10	BT.ST	unshared	0.41009465321374233
chr10	GV.SB	unshared	0.5076665833525884
chr10	GV.ST	unshared	0.46793379150141284
chr10	SB.ST	shared	0.2996941538989592
chr11	BT.GV	shared	0.4037392327336628
chr11	BT.SB	unshared	0.41330558692401287
chr11	BT.ST	unshared	0.3999147014284716
chr11	GV.SB	unshared	0.49546784870045474
chr11	GV.ST	unshared	0.46221537369744004
chr11	SB.ST	shared	0.3142096311288303
chr12	BT.GV	shared	0.4232686678252401
chr12	BT.SB	unshared	0.432719240973055
chr12	BT.ST	unshared	0.41677895606390924
chr12	GV.SB	unshared	0.4985139035432157
chr12	GV.ST	unshared	0.4533703204191556
chr12	SB.ST	shared	0.31334760515807103
chr13	BT.GV	shared	0.3949209034705104
chr13	BT.SB	unshared	0.4171575085662398
chr13	BT.ST	unshared	0.4126403864102717
chr13	GV.SB	unshared	0.47893447731177136
chr13	GV.ST	unshared	0.45049369603695566
chr13	SB.ST	shared	0.32203906039943325
chr14	BT.GV	shared	0.4037860762894391
chr14	BT.SB	unshared	0.4228720959789361
chr14	BT.ST	unshared	0.3998969433262319
chr14	GV.SB	unshared	0.4787294149991549
chr14	GV.ST	unshared	0.4444016798318002
chr14	SB.ST	shared	0.3113272265301778
chr15	BT.GV	shared	0.40909208954165743
chr15	BT.SB	unshared	0.4257093566369851
chr15	BT.ST	unshared	0.38765034688635797
chr15	GV.SB	unshared	0.48812036180676793
chr15	GV.ST	unshared	0.4241128302761572
chr15	SB.ST	shared	0.33009766332627394
chr16	BT.GV	shared	0.40393353674906
chr16	BT.SB	unshared	0.4265902484885827
