chr	pair	shared	weighted
chr1	BT.GV	shared	0.27245930817309316
chr1	BT.SB	unshared	0.27510928899190973
chr1	BT.ST	unshared	0.2703851340570771
chr1	GV.SB	unshared	0.34417216914222676
chr1	GV.ST	unshared	0.31679246511664777
chr1	SB.ST	shared	0.3019249741527401
chr10	BT.GV	shared	0.3211185572333457
chr10	BT.SB	unshared	0.3337245234830762
chr10	BT.ST	unshared	0.3831709021001863
chr10	GV.SB	unshared	0.4085967757795215
chr10	GV.ST	unshared	0.40605319448714855
chr10	SB.ST	shared	0.40471071347803594
chr11	BT.GV	shared	0.3406400220504974
chr11	BT.SB	unshared	0.36927886581525954
chr11	BT.ST	unshared	0.4583145165239501
chr11	GV.SB	unshared	0.4174267823971101
chr11	GV.ST	unshared	0.4498071672892715
chr11	SB.ST	shared	0.44474937119931246
chr12	BT.GV	shared	0.3147759284872154
chr12	BT.SB	unshared	0.3553973791745796
chr12	BT.ST	unshared	0.49196620259627527
chr12	GV.SB	unshared	0.39019739742592474
chr12	GV.ST	unshared	0.4443910736437011
chr12	SB.ST	shared	0.4758830175401881
chr13	BT.GV	shared	0.3679974029069669
chr13	BT.SB	unshared	0.34934252980704483
chr13	BT.ST	unshared	0.4695728180473388
chr13	GV.SB	unshared	0.45443487015732703
chr13	GV.ST	unshared	0.38491071244151737
chr13	SB.ST	shared	0.5304402507852968
chr14	BT.GV	shared	0.5194933897150549
chr14	BT.SB	unshared	0.4623470648509427
chr14	BT.ST	unshared	0.5607491589909186
chr14	GV.SB	unshared	0.5018027624429622
chr14	GV.ST	unshared	0.5884369611220317
chr14	SB.ST	shared	0.6067650318532868
chr15	BT.GV	shared	0.49125840805038173
chr15	BT.SB	unshared	0.4881822167501891
chr15	BT.ST	unshared	0.4865891962257726
chr15	GV.SB	unshared	0.4310001066541259
chr15	GV.ST	unshared	0.4684019127682991
chr15	SB.ST	shared	0.4186870067515808
chr16	BT.GV	shared	0.4739547081767503
chr16	BT.SB	unshared	0.45619895291479073
chr16	BT.ST	unshared	0.48222944370255877
chr16	GV.SB	unshared	0.40450572166661963
chr16	GV.ST	unshared	0.42886025402610434
chr16	SB.ST	shared	0.3990694504007049
chr17	BT.GV	shared	0.21932256585404902
chr17	BT.SB	unshared	0.21049613643866905
chr17	BT.ST	unshared	0.41057963040618756
chr17	GV.SB	unshared	0.2953486005588202
chr17	GV.ST	unshared	0.4884097591751171
chr17	SB.ST	shared	0.4417258137684053
chr18	BT.GV	shared	0.4467788874456798
chr18	BT.SB	unshared	0.45225043801581594
chr18	BT.ST	unshared	0.3809526055475938
chr18	GV.SB	unshared	0.536308301972859
